id_stock_summary,date,stock_code,stock_name,remarks,previous,open_price,first_trade,high,low,close,change,volume,value,frequency,index_individual,offer,offer_volume,bid,bid_volume,listed_shares,tradeble_shares,weight_for_index,foreign_sell,foreign_buy,delisting_date,non_regular_volume,non_regular_value,non_regular_frequency
4024841,2026-06-03,SUPR,Solusi Tunas Pratama Tbk.,--U-4135000000J321-----------X,43850.0,0.0,0.0,0.0,0.0,43850.0,0.0,0.0,0.0,0.0,1346.8,0.0,0.0,0.0,0.0,1137579698.0,1137579698.0,1023822.0,0.0,0.0,,0.0,0.0,0.0
4024842,2026-06-03,SURE,Super Energy Tbk.,--UO2105000000A111------------,2600.0,2400.0,2450.0,2610.0,2400.0,2600.0,0.0,2100.0,5260000.0,15.0,1677.4,2600.0,300.0,2470.0,100.0,1497576771.0,1497576771.0,115163654.0,0.0,200.0,,0.0,0.0,0.0
4024843,2026-06-03,SURI,Maja Agung Latexindo Tbk.,--UO2130000000F112------------,69.0,68.0,69.0,72.0,62.0,62.0,-7.0,18715400.0,1260587400.0,1172.0,36.5,65.0,42100.0,62.0,296000.0,6334375000.0,1267075000.0,924818750.0,189600.0,313000.0,,0.0,0.0,0.0
4024844,2026-06-03,SWAT,Sriwahana Adityakarta Tbk.,--U-4100000000B152---L---Y---X,16.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,3019200000.0,3019200000.0,663620160.0,0.0,0.0,,0.0,0.0,0.0
4024845,2026-06-03,SWID,Saraswanti Indoland Development Tbk.,--MO2130000000E512------------,95.0,95.0,96.0,96.0,90.0,91.0,-4.0,1002100.0,91821400.0,197.0,45.5,92.0,180000.0,91.0,52100.0,5385019201.0,5385019201.0,1104467438.0,89800.0,23300.0,,0.0,0.0,0.0
4024846,2026-06-03,TALF,Tunas Alfin Tbk.,--UO2130000000B131------------,735.0,740.0,740.0,750.0,675.0,710.0,-25.0,91300.0,63773000.0,154.0,179.7,710.0,2200.0,685.0,24600.0,1353435000.0,1353435000.0,126140142.0,0.0,3900.0,,0.0,0.0,0.0
4024847,2026-06-03,TAMA,Lancartama Sejati Tbk.,--UO2130000000J211------------,195.0,199.0,199.0,199.0,166.0,166.0,-29.0,19819100.0,3368635700.0,1261.0,94.9,166.0,241100.0,0.0,0.0,1200000696.0,1200000696.0,448800260.0,0.0,300.0,,0.0,0.0,0.0
4024848,2026-06-03,TAMU,Pelayaran Tamarin Samudra Tbk.,--U-4105000000A132---L-------X,21.0,0.0,0.0,20.0,19.0,19.0,-2.0,4500600.0,86328300.0,247.0,173.6,19.0,1564600.0,0.0,0.0,37500000000.0,37500000000.0,7500000000.0,0.0,0.0,,0.0,0.0,0.0
4024849,2026-06-03,TAPG,Triputra Agro Persada Tbk.,CDMO1M3CUAG000D232------------,1540.0,1560.0,1555.0,1560.0,1440.0,1490.0,-50.0,24153800.0,35927599500.0,6797.0,745.0,1495.0,41800.0,1490.0,1171400.0,19852540000.0,19852540000.0,2425980388.0,15843300.0,8505400.0,,900000.0,1357500000.0,4.0
4024850,2026-06-03,TARA,Agung Semesta Sejahtera Tbk.,--U-4100000000H111-----------X,30.0,0.0,0.0,30.0,27.0,27.0,-3.0,2371600.0,64138500.0,70.0,25.5,29.0,3300.0,27.0,341900.0,10069645750.0,10069645750.0,6906770020.0,0.0,0.0,,0.0,0.0,0.0
4024851,2026-06-03,TAXI,Express Transindo Utama Tbk.,--U-4130000000K132-----------X,15.0,0.0,0.0,15.0,14.0,14.0,-1.0,36147100.0,510968300.0,423.0,2.5,14.0,13351000.0,0.0,0.0,10223647156.0,10223647156.0,10223647156.0,0.0,0.0,,0.0,0.0,0.0
4024852,2026-06-03,TAYS,Jaya Swarasa Agung Tbk.,--UO2100000000D222---L--------,50.0,50.0,50.0,51.0,50.0,50.0,0.0,1928400.0,96424000.0,108.0,13.9,50.0,559100.0,0.0,0.0,1098920000.0,1098920000.0,515283588.0,0.0,500000.0,,0.0,0.0,0.0
4024853,2026-06-03,TBIG,Tower Bersama Infrastructure Tbk.,--MO1103000000J321------------,1460.0,1460.0,1455.0,1460.0,1315.0,1365.0,-95.0,1819700.0,2492306000.0,1012.0,337.0,1365.0,35400.0,1355.0,4000.0,22656999445.0,22656999445.0,1801231456.0,713500.0,151600.0,,0.0,0.0,0.0
4024854,2026-06-03,TBLA,Tunas Baru Lampung Tbk.,--MO1105000000D222------------,625.0,625.0,630.0,630.0,580.0,600.0,-25.0,7450600.0,4445604500.0,1001.0,138.7,600.0,2400.0,595.0,13100.0,6025373372.0,6025373372.0,2411956961.0,1596300.0,2118000.0,,0.0,0.0,0.0
4024855,2026-06-03,TBMS,Tembaga Mulia Semanan Tbk.,--UO2135000000B142------------,1300.0,1335.0,1335.0,1340.0,1200.0,1205.0,-95.0,126200.0,157238500.0,127.0,341.8,1225.0,300.0,1200.0,11000.0,734680000.0,734680000.0,72806788.0,800.0,800.0,,0.0,0.0,0.0
4024856,2026-06-03,TCID,Mandom Indonesia Tbk.,--UO2135000000D421------------,2770.0,0.0,0.0,2820.0,2720.0,2820.0,50.0,98500.0,271102000.0,25.0,554.1,2850.0,1400.0,2820.0,400.0,402133334.0,402133334.0,71459093.0,0.0,15300.0,,5012692.0,14491692572.0,1.0
4024857,2026-06-03,TCPI,Transcoal Pacific Tbk.,--UO2835400000A122------------,10825.0,10825.0,10850.0,10900.0,9775.0,9900.0,-925.0,3043400.0,30668947500.0,1623.0,7173.9,9900.0,300.0,9875.0,30000.0,5000000000.0,5000000000.0,1000000000.0,555200.0,548800.0,,0.0,0.0,0.0
4024858,2026-06-03,TDPM,Tianrong Chemicals Industry Tbk.,--U-4105000000B111B--L---Y---X,119.0,0.0,0.0,0.0,0.0,119.0,0.0,0.0,0.0,0.0,52.2,0.0,0.0,0.0,0.0,10485050500.0,10485050500.0,2882340382.0,0.0,0.0,,0.0,0.0,0.0
4024859,2026-06-03,TEBE,Dana Brata Luhur Tbk.,--MO1135000000A122------------,1015.0,1015.0,1040.0,1040.0,920.0,940.0,-75.0,1377500.0,1311587500.0,669.0,85.8,940.0,18500.0,935.0,1000.0,1285000000.0,1285000000.0,296706500.0,192000.0,310900.0,,0.0,0.0,0.0
4024860,2026-06-03,TECH,Indosterling Technomedia Tbk.,--U-4100000000I121---L-------X,50.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,31.3,0.0,0.0,0.0,0.0,1256300000.0,1256300000.0,305909050.0,0.0,0.0,,0.0,0.0,0.0
4024861,2026-06-03,TELE,Omni Inovasi Indonesia Tbk.,--U-4100000000E711BEDL-------X,9.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,2.9,0.0,0.0,0.0,0.0,7310929389.0,7310929389.0,2219598163.0,0.0,0.0,,0.0,0.0,0.0
4024862,2026-06-03,TFAS,Telefast Indonesia Tbk.,--UO2130000000I111------------,210.0,210.0,218.0,230.0,200.0,206.0,-4.0,1284300.0,266763000.0,136.0,114.4,204.0,2500.0,200.0,25800.0,1666666500.0,1666666500.0,214166645.0,22700.0,0.0,,0.0,0.0,0.0
4024863,2026-06-03,TFCO,Tifico Fiber Indonesia Tbk.,--U-4135000000E413-----------X,600.0,0.0,0.0,600.0,600.0,600.0,0.0,900.0,540000.0,1.0,136.0,615.0,100.0,0.0,0.0,4823076400.0,4823076400.0,519445328.0,0.0,0.0,,0.0,0.0,0.0
4024864,2026-06-03,TGKA,Tigaraksa Satria Tbk.,XDUO2135000000D222------------,4630.0,0.0,0.0,4650.0,4630.0,4630.0,0.0,1700.0,7882000.0,13.0,3804.7,4630.0,100.0,4590.0,100.0,918492750.0,918492750.0,68978806.0,100.0,0.0,,0.0,0.0,0.0
4024865,2026-06-03,TGRA,Terregra Asia Energy Tbk.,--U-4100000000J411---LS------X,27.0,0.0,0.0,0.0,0.0,27.0,0.0,0.0,0.0,0.0,13.5,0.0,0.0,0.0,0.0,2750000000.0,2750000000.0,2133175000.0,0.0,0.0,,0.0,0.0,0.0
4024866,2026-06-03,TGUK,Platinum Wahab Nusantara Tbk.,--U-4130000000D221--------G--X,137.0,0.0,0.0,0.0,0.0,137.0,0.0,0.0,0.0,0.0,124.5,0.0,0.0,0.0,0.0,3571451815.0,3547701815.0,804648094.0,0.0,0.0,,0.0,0.0,0.0
4024867,2026-06-03,TIFA,KDB Tifa Finance Tbk.,--UO2105000000G211------------,318.0,0.0,0.0,312.0,304.0,312.0,-6.0,3900.0,1188200.0,15.0,398.1,310.0,900.0,306.0,1000.0,3552213000.0,3552213000.0,266415975.0,0.0,0.0,,0.0,0.0,0.0
4024868,2026-06-03,TINS,Timah Tbk.,--UO1835853000B146------------,3150.0,3180.0,3180.0,3190.0,2690.0,2850.0,-300.0,108578700.0,310770317000.0,22614.0,1456.3,2860.0,23100.0,2850.0,13500.0,7447753454.0,7447753454.0,2603734608.0,17136600.0,42440600.0,,8071900.0,23636027000.0,2.0
